,face_uuid,filename,Ground Truth,match_file,match_score,model,distance_metric,number_of_hits,Model,account_name
0,b248b1d2-1780-4b4c-8529-571b0246a9e5,olafscholz/2021-09-13_07-45-59_UTC.jpg,Olaf Scholz,addb18d2-ca87-4104-b149-5ecb974f1432.png,0.5209834336434738,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
1,d83b5202-1f81-4b16-b8c8-360f0e6051e5,olafscholz/2021-09-14_10-23-23_UTC_1.jpg,Unknown,,,,,,Unknown,olafscholz
2,95c9174b-5389-4ccb-89ac-98de4be55d9e,olafscholz/2021-09-14_10-23-23_UTC_1.jpg,Olaf Scholz,fb89d12e-d3a5-48c2-b506-eca8454e847b.png,0.5476679079631442,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
3,2d573a4a-21f5-464f-aef4-8700597752c1,olafscholz/2021-09-17_10-42-46_UTC_2.jpg,Unknown,,,,,,Unknown,olafscholz
4,3539ae42-9adf-4733-a703-024b662d8eff,olafscholz/2021-09-17_10-42-46_UTC_2.jpg,Unknown,,,,,,Unknown,olafscholz
5,37043cd2-95b5-482b-bfdd-f4e213b257fb,olafscholz/2021-09-17_10-42-46_UTC_2.jpg,Unknown,,,,,,Unknown,olafscholz
6,4c441268-34c9-4ee1-a7f2-82c5277a354e,olafscholz/2021-09-20_11-29-19_UTC.jpg,Olaf Scholz,c27ee252-e37c-4074-92b5-20e300431107.png,0.479990057622936,Facenet512,euclidean_l2,40.0,Olaf Scholz,olafscholz
7,fb1249e6-ca58-41c9-bac8-0579b3e710f8,olafscholz/2021-09-20_11-29-19_UTC.jpg,Unknown,,,,,,Unknown,olafscholz
8,22e466d8-2e55-489b-976c-85245345d8a6,olafscholz/2021-09-20_11-29-19_UTC.jpg,Unknown,,,,,,Unknown,olafscholz
9,09d2294b-a454-4977-b92c-8e2d4baf070f,olafscholz/2021-09-20_11-29-19_UTC.jpg,Unknown,,,,,,Unknown,olafscholz
10,aa62fa89-b337-42d6-9945-3c6cb3e62e1c,olafscholz/2021-09-20_11-29-19_UTC.jpg,Unknown,,,,,,Unknown,olafscholz
11,47d76ade-4763-44e7-a3b8-7341f6915efc,olafscholz/2021-09-16_19-01-33_UTC_2.jpg,Olaf Scholz,c27ee252-e37c-4074-92b5-20e300431107.png,0.6255995503669669,Facenet512,euclidean_l2,38.0,Olaf Scholz,olafscholz
12,052cb75e-6108-4f86-a02e-b02b365b42a9,olafscholz/2021-09-21_20-52-10_UTC.jpg,Unknown,,,,,,Unknown,olafscholz
13,955c61d6-2354-43e5-a3c9-acd5b9ec6003,olafscholz/2021-09-21_20-52-10_UTC.jpg,Olaf Scholz,f124d4ca-3c2d-40fd-a3a4-81e0a32b39d5.png,0.6487577258564595,Facenet512,euclidean_l2,38.0,Olaf Scholz,olafscholz
14,b60dae19-a56d-4cb4-95f6-f7866016ed34,olafscholz/2021-09-18_16-51-02_UTC.jpg,Unknown,,,,,,Unknown,olafscholz
15,66ce280b-f8cb-4c1d-8416-4798bef32921,olafscholz/2021-09-18_20-26-35_UTC_4.jpg,Unknown,,,,,,Unknown,olafscholz
